5.1.1   Vestigingen en de hierin werkzame personen 1) naar secties, 1 januari 2013-2017;;;;;;;;;;
;;;;;;;;;;
;2013;;2014;;2015;;2016;;2017;
sectie;vestigingen met wp;werkzame pers.;vestigingen met wp;werkzame pers.;vestigingen met wp;werkzame pers.;vestigingen met wp;werkzame pers.;vestigingen met wp;werkzame pers.
;;;;;;;;;;
A landbouw, bosbouw en visserij;85;134;82;132;82;143;89;178;89;170
B winning van delfstoffen;10;64;11;60;16;96;13;93;15;170
C industrie;2121;12135;2088;10363;2280;10609;2371;11659;2463;11955
D energiebedrijven;31;3205;27;3243;32;3354;39;3072;41;3255
E waterwinning en afvalverwerking;48;3121;51;3115;63;3227;64;3394;73;3479
F bouwnijverheid;4702;12588;4678;12517;4739;12854;4925;13010;5205;13606
G1 groothandel;3902;24623;4002;25424;4068;22502;4152;23057;4145;23707
G2 detailhandel;8643;31425;8667;31365;8897;32362;9064;32459;9128;34277
H transport en logistiek;2780;19492;3012;19300;3222;17925;3413;17847;4334;18909
I horeca;4399;30026;4498;30414;4782;31518;5095;34961;5350;37254
J informatie en communicatie;8458;31230;8888;32342;9284;37170;9781;38522;10200;40719
K financiÃ«le instellingen;3186;41521;3102;43159;3115;44002;3068;45522;3144;46420
L handel, verhuur onroerend goed;1264;6184;1273;5976;1295;6042;1402;6600;1509;6932
M advisering en onderzoek;24409;83433;26030;83556;27498;87351;29134;93699;29754;96012
N overige zakelijke dienstverlening;4337;25667;4425;23606;4543;23690;4663;24396;4897;27730
O overheid;146;25709;153;27053;139;25707;138;25489;137;24682
P onderwijs;3734;32718;4045;31385;4479;32097;4832;31692;5210;32328
Q gezondheids- en welzijnszorg;7457;65999;7873;67673;8163;67463;8531;68304;8912;68772
R cultuur, sport en recreatie;12124;22986;12872;23472;13944;24801;14590;25443;14957;25949
S overige dienstverlening;3978;10236;4189;10302;4375;10308;4434;10405;4523;10520
T personeel particuliere huishoudens;-;-;-;-;-;-;-;-;-;-
U extraterritoriale organisaties en lichamen;17;142;17;143;18;158;16;142;16;142
totaal ;95831;482638;99983;484600;105034;493379;109814;509944;114102;526988
;;;;;;;;;;
1) Personen 12 uur of meer per week werkzaam. ;;;;;;;;;;bron: OIS